time,frequency
0.098304,-5.086263020833333
146.325504,9155.2734375
280.264704,6459.554036458333
314.671104,3545.125325520833
320.815104,2797.444661458333
334.331904,900.2685546875
357.679104,-2609.2529296875
360.136704,-2939.8600260416665
363.823104,-3402.7099609375
365.05190400000004,-3682.454427083333
367.50950400000005,-3957.112630208333
368.738304,-4099.527994791666
369.967104,-4318.2373046875
373.653504,-4740.397135416666
374.88230400000003,-4959.1064453125
384.71270400000003,-6093.343098958333
398.229504,-7293.701171875
400.68710400000003,-7451.375325520833
401.915904,-7609.049479166666
404.373504,-7771.809895833333
406.83110400000004,-7898.966471354166
408.059904,-8036.295572916666
410.51750400000003,-8163.452148437499
412.97510400000004,-8290.608723958332
414.203904,-8407.5927734375
416.66150400000004,-8524.576822916666
419.11910400000005,-8677.164713541666
421.576704,-8763.631184895832
422.80550400000004,-8824.666341145832
424.034304,-8900.960286458332
425.263104,-9460.44921875
426.49190400000003,-8977.254231770832
427.720704,-9038.289388020832
428.94950400000005,-9109.4970703125
431.407104,-9211.222330729166
432.63590400000004,-9241.739908854166
433.864704,-9292.6025390625
435.09350400000005,-9368.896484375
437.551104,-9480.794270833332
443.695104,-9643.5546875
444.92390400000005,-9689.3310546875
446.152704,-9704.58984375
448.61030400000004,-10325.113932291666
454.75430400000005,-9958.902994791666
